SEQ NO.,BRAND CODE,DESCRIPTION, WITHDRAWAL PRICE , RETAIL PRICE , WHOLESALE PRICE , RETAIL DISCOUNT , WHOLESALE DISCOUNT ,CARTON CONVERSION 
67,TOMATO PASTE- SUP 150G,, 24.18 , 27.45 , 27.45 ,,, 48.0 
68,TOMATO PASTE -SUP 500G,, 77.47 , 85.70 , 85.70 ,,, 18.0 
69,TOMATO PASTE -SUP 1KG.,, 145.30 , 160.70 , 160.70 ,,, 12.0 
70,TOMATO SAUCE- FILIPINO STYLE 115G,, 14.00 , 15.90 , 15.90 ,,, 48.0 
71,TOMATO SAUCE- FILIPINO STYLE 250G,, 18.77 , 21.95 , 21.95 ,,, 48.0 
72,TOMATO SAUCE- FILIPINO STYLE 1K,, 68.27 , 75.50 , 75.50 ,,, 12.0 
73,TOMATO SAUCE SUP 115G,, 14.00 , 15.90 , 15.90 ,,, 48.0 
74,TOMATO SAUCE SUP 200G,, 17.36 , 20.30 , 20.30 ,,, 48.0 
75,TOMATO SAUCE SUP 250G,, 18.77 , 21.95 , 21.95 ,,, 48.0 
76,TOMATO SAUCE-SUP 1K,, 68.27 , 75.50 , 75.50 ,,, 12.0 
77,RAM HOT SAUCE 100ML,, 20.28 , 23.00 , 23.00 ,,, 48.0 
78,RAM SWEET PCKLE RELISH 100G,, 31.90 , 36.20 , 36.20 ,,, 48.0 
79,RAM PICKLE RELISH 135G,, 53.20 , 58.85 , 58.85 ,,, 24.0 
80,RAM PICKLE WHOLE 135G,, 58.04 , 64.20 , 64.20 ,,, 24.0 
81,HOT SAUCE 1gl,, 261.35 , 289.00 , 289.00 ,,, 4.0 
82,RAM SWEET PICKLE RELISH 3700G,, -   , 839.19 , 839.19 ,,, 4.0 
83,SEVILLA DRY PEAS,, 13.52 , 15.35 , 15.35 ,,, 100.0 
84,SEVILLA PICKLE RELISH 3700G,, 735.73 , 797.25 , 797.25 ,,, 4.0 
85,MITRA PALM OIL 485ml,, 64.61 , 70.00 , 70.00 ,,, 24.0 
86,MITRA PALM OIL 950ml,, 110.16 , 120.65 , 120.65 ,,, 12.0 
87,OYSTER SAUCE 72x70g,, -   , 12.80 , 12.80 ,,, 72.0 
88,OYSTER SAUCE 144x30g,, -   , 7.45 , 7.45 ,,, 144.0 
89,MASTER FLOORWAX RED 90g,, 18.51 , 20.80 , 20.80 ,,, 72.0 
90,MASTER FLOORWAX DYE WAX 90g,, 19.51 , 21.95 , 21.95 ,,, 72.0 
91,MASTER FLOORWAX COLORLESS,, 18.50 , 20.80 , 20.80 ,,, 72.0 
92,STARCH POWDER,, 19.00 , 22.50 , 22.50 ,,, 150.0 
93,MISUA 12's,, 26.50 , 30.00 , 30.00 ,,, 100.0 
94,ODONG 12's NEW,, 22.50 , 26.00 , 26.00 ,,, 100.0 
95,KAONG RED 8oz,, 49.40 , 54.35 , 54.35 ,,, 24.0 
96,KAONG GREEN  8oz,, 49.40 , 54.35 , 54.35 ,,, 24.0 
97,KAONG RED 12oz,, 67.69 , 74.50 , 74.50 ,,, 24.0 
98,KAONG GREEN 12oz,, 67.69 , 74.50 , 74.50 ,,, 24.0 
100,NATA DE COCO RED 8oz,, 39.19 , 43.15 , 43.15 ,,, 24.0 
101,NATA DE COCO GREEN  8oz,, 39.19 , 43.15 , 43.15 ,,, 24.0 
102,NATA DE COCO WHITE 8oz,, 39.19 , 43.15 , 43.15 ,,, 24.0 
103,NATA RED 12oz,, 48.93 , 54.80 , 54.80 ,,, 24.0 
104,NATA GREEN 12oz,, 48.93 , 54.80 , 54.80 ,,, 24.0 
105,NATA WHITE 12oz,, 48.93 , 54.80 , 54.80 ,,, 24.0 
106,KAONG RED  24oz,, 117.09 , 128.80 , 128.80 ,,, 12.0 
107,KAONG GREEN 24oz,, 117.09 , 128.80 , 128.80 ,,, 12.0 
108,NATA RED 24oz,, 97.14 , 106.85 , 106.85 ,,, 12.0 
109,NATA GREEN 24oz,, 97.14 , 106.85 , 106.85 ,,, 12.0 
110,NATA WHITE  24oz,, 97.14 , 106.85 , 106.85 ,,, 12.0 
111,NATA RED 32OZ,, 105.93 , 121.85 , 121.85 ,,, 12.0 
112,NATA GREEN 32OZ,, 105.93 , 121.85 , 121.85 ,,, 12.0 
113,TRU MAYO 200ml,, 31.35 , 35.00 , 35.00 ,,, 48.0 
114,TRU MAYO 1.8L,, 168.63 , 186.00 , 186.00 ,,, 8.0 
115,TRUMAYO 3.5L,, 303.76 , 325.00 , 325.00 ,,, 4.0 
116,YUMMEE PUDDING,, 31.19 , 35.00 , 35.00 ,,, 20.0 
117,YUMMEE JELLY,, 31.19 , 35.00 , 35.00 ,,, 20.0 
118,TENDER LOVE PAPAYA WIPES,, 35.61 , 40.95 , 40.95 ,,, 36.0 
119,TENDER LOVE SCENTED,, 34.68 , 40.95 , 40.95 ,,, 36.0 
120,TENDER LOVE SWEET DELIGHT,, 35.61 , 40.95 , 40.95 ,,, 36.0 
121,TENDER LOVE BABY WIPES UNSCENTED,, 34.68 , 40.95 , 40.95 ,,, 36.0 
122,T.L ALOEVERA single ,, 35.61 , 40.95 , 40.95 ,,, 36.0 
123,TENDER LOVE PAPAYA 3+1,, 106.83 , 119.70 , 119.70 ,,, 9.0 
124,TENDER LOVE SWEET DELIGHT 3+1,, 106.83 , 119.70 , 119.70 ,,, 9.0 
125,TENDER LOVE SCENTED 3+1,, 104.04 , 119.70 , 119.70 ,,, 9.0 
126,TENDER LOVE UNSCENTED 3+1,, 104.04 , 119.70 , 119.70 ,,, 9.0 
127,T.L ALOEVERA 3+1,, 106.83 , 119.70 , 119.70 ,,, 9.0 
128,KOJIC SOAP ,, 50.35 , 56.40 , 56.40 ,,, 150.0 
129,KOJIC SOAP GLUTHA,, 52.96 , 59.35 , 59.35 ,,, 150.0 
130,RED FALCON MALLORCA 24x350ml,, 38.95 , 43.10 , 43.10 ,,, 24.0 
131,RED FALCON MALLORCA 12x750ml,, 75.21 , 83.20 , 83.20 ,,, 12.0 
132,CAMEL SOY SAUCE 3.8L,, 172.26 , 191.00 , 191.00 ,,, 4.0 
134,CAMEL SOY SAUCE 1.9ltr,, 88.71 , 102.00 , 102.00 ,,, 6.0 
135,CAMEL SOY SAUCE 1000ml w/HANDLE,, 47.58 , 54.75 , 54.75 ,,, 12.0 
136,CAMEL SOY SAUCE 385ml,, 19.56 , 22.50 , 22.50 ,,, 24.0 
137,CAMEL SOY SAUCE 200ml,, 8.97 , 10.30 , 10.30 ,,, 48.0 
138,CAMEL SOY SAUCE 100ML,, 5.98 , 6.90 , 6.90 ,,, 72.0 
139,CAMEL SUKANG PUTI 200ml,, 6.31 , 7.25 , 7.25 ,,, 48.0 
140,SUKA PUTI 12x1ltr,, 35.50 , 41.20 , 41.20 ,,, 12.0 
141,WHITE HOUSE BLACK BEANS 120g,, 20.25 , 23.50 , 23.50 ,,, 100.0 
142,CAMEL BLACK BEANS 60g,, 10.75 , 14.00 , 14.00 ,,, 100.0 
143,CAMEL BLACK BEANS 100g,, 15.25 , 18.00 , 18.00 ,,, 100.0 
144,CHOYO CHOYO CHOCO,, 67.00 , 70.00 , 70.00 ,,, 6.0 
145,CHOYO CHOYO UBE,, 67.00 , 70.00 , 70.00 ,,, 6.0 
146,CHOYO CHOYO STRAWBERRY,, 67.00 , 70.00 , 70.00 ,,, 6.0 
147,TOILY B. T.  SINGLE  X 96,, 8.33 , 9.50 , 9.50 ,,, 96.0 
148,HELLO BATH. TISSUE SINGLE,, 12.29 , 14.30 , 14.30 ,,, 96.0 
149,HELLO BATH. TISSUE X4,, 47.66 , 53.40 , 53.40 ,,, 24.0 
150,HELLO BATHROOM TISSUE 8 x 12,, 138.20 , 154.80 , 154.80 ,,, 8.0 
151,FOLDED TBL NAP 50's      80,, 14.90 , 16.90 , 16.90 ,,, 80.0 
152,CHOCO JOY,, 35.48 , 37.00 , 37.00 ,,, 40.0 
153,CHAMPI,, 35.48 , 37.00 , 37.00 ,,, 40.0 
154,YAKEE,, 24.01 , 26.00 , 26.00 ,,, 40.0 
155,PINTORA,, 24.01 , 26.00 , 26.00 ,,, 40.0 
156,FRUTOS ORIG,, 33.71 , 36.00 , 36.00 ,,, 40.0 
157,FRUTOS SAMPALOK,, 33.71 , 36.00 , 36.00 ,,, 40.0 
158,FRUTOS STRAWBERRY,, 33.71 , 36.00 , 36.00 ,,, 40.0 
159,FRUTOS TROPICAL,, 33.71 , 36.00 , 36.00 ,,, 40.0 
160,FRUTOS MILK,, 33.71 , 36.00 , 36.00 ,,, 40.0 
161,V FRESH,, 33.71 , 36.00 , 36.00 ,,, 40.0 
162,FROOTY RAINBOW POP,, 28.42 , 30.50 , 30.50 ,,, 40.0 
163,FROOTY CHOCO POP,, 28.42 , 30.50 , 30.50 ,,, 40.0 
164,FROOTY BUBBLE POP,, 28.49 , 30.50 , 30.50 ,,, 40.0 
165,FROOTY POP JAR,, 115.80 , 120.00 , 120.00 ,,, 12.0 
167,POTCHI PACK STRAWBERRY,, 33.71 , 36.00 , 36.00 ,,, 40.0 
168,MONAMI STRAWBERRY,, 33.71 , 36.00 , 36.00 ,,, 40.0 
169,MONAMI  BUTTER,, 33.71 , 36.00 , 36.00 ,,, 40.0 
170,BUTTER KIST,, 33.71 , 36.00 , 36.00 ,,, 40.0 
171,I COOL RED,, 33.71 , 36.00 , 36.00 ,,, 40.0 
172,I COOL BLUE,, 33.71 , 36.00 , 36.00 ,,, 40.0 
173,JUMBO JAR,, 98.16 , 105.00 , 105.00 ,,, 12.0 
174,CHERRI JUMBO JAR,, 92.29 , 105.00 , 105.00 ,,, 12.0 
175,JUMBO CRAYON,, 92.29 , 105.00 , 105.00 ,,, 12.0 
176,JUMBO DINO EGGS,, 92.29 , 105.00 , 105.00 ,,, 12.0 
177,POTCHI HOLA HOOP,, 92.87 , 95.00 , 95.00 ,,, 12.0 
178,POTCHI GUMMI WORM,, 92.87 , 95.00 , 95.00 ,,, 12.0 
179,POTCHI BURGER,, 92.87 , 95.00 , 95.00 ,,, 12.0 
180,OTSO CHOCO,, 53.02 , 55.00 , 55.00 ,,, 20.0 
18/1,OTSO VANILLA,, 53.02 , 55.00 , 55.00 ,,, 20.0 
182,OTSO STRAWBERRY,, 53.02 , 55.00 , 55.00 ,,, 20.0 
182,CHOQUICK,, 53.02 , 55.00 , 55.00 ,,, 20.0 
183,MY BIDA,, 53.02 , 55.00 , 55.00 ,,, 20.0 
184,CHOQUICK CHOCO BAR,, 59.19 , 62.50 , 62.50 ,,, 20.0 
185,LUV LUV CHOCO BAR,, 59.01 , 62.50 , 62.50 ,,, 12.0 
186,TOPIKO CHOCO BAR,, 59.19 , 62.50 , 62.50 ,,, 20.0 
187,MALLOWS CHOCO,, 24.53 , 26.00 , 26.00 ,,, 18.0 
188,MALLOWS SBERRY,, 24.53 , 26.00 , 26.00 ,,, 18.0 
189,MALLOWS PEACH MANGO,, 24.53 , 26.00 , 26.00 ,,, 18.0 
190,COOKS BANANA CATSUP 1gl.,, 72.72 , 87.00 , 87.00 ,,, 4.0 
191,COOKS BANANA CATSUP FREE 1G,,,,,,, 4.0 
192,COOKS BANANA CATSUP HALF gl.,, 41.76 , 52.50 , 52.50 ,,, 6.0 
193,COOKS CATSUP 1LTR,, 30.59 , 36.50 , 36.50 ,,, 12.0 
194,COOKS CATSUP POUCH,, 7.61 , 9.15 , 9.15 ,,, 35.0 
195,DIP HOT SAUCE 1gl.,, 121.15 , 161.55 , 161.55 ,,, 4.0 
196,EGGY MAYO 1gl.,, 189.13 , 225.50 , 225.50 ,,, 4.0 
197,EGGY MAYO 1ltr.,, 76.62 , 88.00 , 88.00 ,,, 12.0 
198,SNF PREMIUM MAYO 1gl.,, 283.61 , 335.00 , 335.00 ,,, 4.0 
199,SNF PREMIUM MAYO 1.7ltrs,, 160.01 , 190.80 , 190.80 ,,, 6.0 
200,SNF PREMIUM MAYO 1ltr,, 104.52 , 124.60 , 124.60 ,,, 12.0 
201,LA MIA HOT & SPICY,, 28.34 , 33.00 , 33.00 ,,, 50.0 
202,LA MIA FLAKES N OIL,, 28.34 , 33.00 , 33.00 ,,, 50.0 
203,LA MIA AFRITADA,, 25.06 , 30.00 , 30.00 ,,, 50.0 
204,PEANUT BUTTER 230g,, 73.87 , 86.90 , 86.90 ,,, 112.0 
205,PEANUT BUTTER 250g,, 74.80 , 88.00 , 88.00 ,,, 90.0 
206,PEANUT BUTTER 300g,, 101.75 , 119.70 , 119.70 ,,, 60.0 
207,JOLLY FRUIT TREATS CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
208,JOLLY MENTHOL CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
209,JOLLY CHERRY MENTHOL CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
210,JOLLY HONEY LEMON CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
211,JOLLY MELON LOVE CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
212,JOLLY COLA CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
213,JOLLY FRUIT POP (LOLLIPOP) CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
214,JOLLY CHOCO (LOLLIPOP) CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
215,JOLLY COLA POP (LOLLIPOP) CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
216,JOLLY COCONUT CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
217,JOLLY RAINBOW CANDY,, 24.30 , 29.20 , 29.20 ,,, 20.0 
215,JOLLY MANGO CANDY,, 25.20 , 30.25 , 30.25 ,,, 20.0 
216,JOLLY SAMPALOK (TAMARIND) CANDY,, 25.20 , 30.25 , 30.25 ,,, 20.0 
217,JOLLY UBE CANDY,, 25.20 , 30.25 , 30.25 ,,, 20.0 
218,JOLLY CAPPUCCINO CANDY,, 25.20 , 30.25 , 30.25 ,,, 20.0 
226,KYANDE SOFT CHEWY CANDY,, 25.20 , 30.25 , 30.25 ,,, 20.0 
227,ICE FRUITEE-BIG,, 24.08 , 27.70 , 27.70 ,,, 16.0 
228,ICE FRUITEE - MINI POPS,, 20.70 , 23.80 , 23.80 ,,, 20.0 
229,DAIRY HILL CREAMYSADA,, 46.06 , 50.00 , 50.00 ,,, 48.0 
230,DAIRY HILL POWDER,, 90.63 , 98.40 , 98.40 ,,, 12.0 
231,DAIRY HILL POWDER MILK 9+3,, 67.68 , 77.90 , 77.90 ,,, 12.0 
232,VEGA CORN STICKS CHEESE 8.5g,, 81.42 , 88.00 , 88.00 ,,, 24.0 
233,VEGA CORN STICKS ROASTED 8.5g,, 81.42 , 88.00 , 88.00 ,,, 24.0 
234,FRUIT FIESTA,, 32.39 , 37.00 , 37.00 ,,, 30.0 
235,SENORITA SAR. GREEN REG. 100/155g,, 21.04 , 23.15 , 23.15 ,,, 100.0 
236,SENORITA SAR. RED REG. 100/155g,, 21.27 , 23.40 , 23.40 ,,, 100.0 
237,SENORITA SAR.GREEN EASY OPEN 155g,, 21.46 , 23.60 , 23.60 ,,, 100.0 
238,SENORITA SAR. RED EASY OPEN 155g,, 21.69 , 23.85 , 23.85 ,,, 100.0 
239,SENORITA DRY PEAS 155g,, 12.18 , 14.00 , 14.00 ,,, 100.0 
240,SENORITA BLACK BEANS 110g,, 15.74 , 18.10 , 18.10 ,,, 100.0 
241,SENORITA BLACK BEANS 180g,, 24.41 , 28.10 , 28.10 ,,, 48.0 
242,MAYON CREAMSTYLE CORN 425g,, 34.62 , 39.80 , 39.80 ,,, 24.0 
243,MAYON WHOLE KERNEL 425g,, 34.49 , 39.80 , 39.80 ,,, 24.0 
244,MAYON MUSHROOM P/S 400G,, 43.47 , 47.85 , 47.85 ,,, 24.0 
245,MAYON MUSHROOM WHOLE 400G,, 45.39 , 49.95 , 49.95 ,,, 24.0 
246,MAYON DRY PEAS 155g,, 11.95 , 13.75 , 13.75 ,,, 100.0 
247,MAYON GREEN PEAS 225g,, 19.52 , 22.50 , 22.50 ,,, 48.0 
248,MAYON GREEN PEAS 450g,, 29.33 , 33.75 , 33.75 ,,, 24.0 
249,PRAN MALT & MILK BISCUITS,, 52.48 , 63.00 , 63.00 ,,, 10.0 
250,PRAN NICE COCONUT BISCUITS,, 52.48 , 63.00 , 63.00 ,,, 10.0 
251,PRAN GLUCOSE BISCUITS,, 52.48 , 63.00 , 63.00 ,,, 10.0 
252,CLUB FRUITFUN ORANGE CREAM BISCUITS,, 49.20 , 59.05 , 59.05 ,,, 12.0 
